Время                                       Абсолютная
1082375                                     13671953
1082438                                     13671953
1082500                                     13671953
1082563                                     13671953
1082625                                     13671953
1082688                                     13671953
1082750                                     13671953
1082813                                     13671953
1082875                                     13671953
1082938                                     13671953
1083000                                     13671953
1083063                                     13671953
1083125                                     13671953
1083188                                     13671953
1083250                                     13671953
1083313                                     13671953
1083375                                     13671953
1083438                                     13671953
1083500                                     13671953
1083563                                     13671953
1083625                                     13671953
1083688                                     13671953
1083750                                     13671953
1083813                                     13671953
1083875                                     13671953
1083938                                     13671953
1084000                                     13671953
1084063                                     13671953
1084125                                     13671953
1084188                                     13671953
1084250                                     13671954
1084313                                     13671954
1084375                                     13671939
1084438                                     13671939
1084500                                     13671939
1084563                                     13671939
1084625                                     13671939
1084688                                     13671939
1084750                                     13671939
1084813                                     13671939
1084875                                     13671939
1084938                                     13671939
1085000                                     13671939
1085063                                     13671939
1085125                                     13671939
1085188                                     13671939
1085250                                     13671939
1085313                                     13671939
1085375                                     13671939
1085438                                     13671939
1085500                                     13671939
1085563                                     13671940
1085625                                     13671940
1085688                                     13671940
1085750                                     13671940
1085813                                     13671940
1085875                                     13671940
1085938                                     13671940
1086000                                     13671940
1086063                                     13671940
1086125                                     13671941
1086188                                     13671941
1086250                                     13671941
1086313                                     13671941
1086391                                     13671941
